data,Precipitação,Temperatura
2016-09-30,0.6,7.6228750000000005
2016-10-01,4.8,7.798229166666666
2016-10-02,9.2,6.9203125000000005
2016-10-03,0.0,9.367041666666667
2016-10-04,4.0,9.007041666666668
2016-10-05,2.0,8.372583333333333
2016-10-06,4.4,6.950541666666666
2016-10-07,0.0,7.47825
2016-10-08,0.0,7.8161249999999995
2016-10-09,0.0,7.321916666666667
2016-10-10,3.0,8.187770833333333
2016-10-11,3.2,7.695604166666667
2016-10-12,0.0,8.314104166666667
2016-10-13,7.2,7.275083333333334
2016-10-14,14.399999999999999,7.4777916666666675
2016-10-15,4.6,7.413
2016-10-16,2.6,7.261229166666666
2016-10-17,0.0,7.6037083333333335
2016-10-18,0.0,7.938770833333333
2016-10-19,0.0,7.066770833333333
2016-10-20,0.6000000000000001,8.3341875
2016-10-21,3.0,6.499937500000001
2016-10-22,0.2,7.943270833333333
2016-10-23,0.2,7.848916666666667
2016-10-24,0.0,8.387520833333333
2016-10-25,0.0,7.6739375
2016-10-26,0.2,7.246854166666666
2016-10-27,0.0,7.074770833333333
2016-10-28,1.2000000000000002,7.981604166666667
2016-10-29,0.0,7.820979166666667
2016-10-30,0.0,8.118020833333334
2016-10-31,0.0,8.022208333333333
2016-11-01,0.0,7.880229166666666
2016-11-02,0.0,7.880979166666666
2016-11-03,0.6000000000000001,8.029541666666667
2016-11-04,0.4,8.125895833333333
2016-11-05,0.0,8.192874999999999
2016-11-06,0.0,8.866583333333333
2016-11-07,0.0,8.773270833333333
2016-11-08,4.6,8.971666666666666
2016-11-09,0.6000000000000001,8.03625
2016-11-10,0.0,8.067520833333333
2016-11-11,0.0,8.212895833333333
2016-11-12,0.0,7.495166666666666
2016-11-13,0.0,7.483979166666667
2016-11-14,0.0,6.708729166666667
2016-11-15,0.0,5.836458333333333
2016-11-16,0.0,6.2971875
2016-11-17,0.0,6.785166666666666
2016-11-18,0.0,6.8309375
2016-11-19,0.0,7.4467083333333335
2016-11-20,0.0,6.658145833333333
2016-11-21,0.0,6.587666666666667
2016-11-22,0.0,7.4839166666666666
2016-11-23,0.0,7.428020833333334
2016-11-24,0.0,7.7815
2016-11-25,0.0,8.052895833333332
2016-11-26,0.0,8.209020833333334
