data,Precipitação,Temperatura
2017-11-03,1.0,4.587395833333333
2017-11-04,2.0,5.481854166666667
2017-11-05,1.2,4.863270833333334
2017-11-06,4.0,4.5128125
2017-11-07,16.402,2.2125833333333333
2017-11-08,2.0,4.546958333333333
2017-11-09,10.403,3.9565208333333337
2017-11-10,4.8,5.242083333333333
2017-11-11,5.0,4.9506041666666665
2017-11-12,4.4,3.7457708333333333
2017-11-13,0.0,5.938854166666666
2017-11-14,0.0,5.372520833333334
2017-11-15,0.0,4.4667916666666665
2017-11-16,8.801,4.34875
2017-11-17,0.0,4.6340625
2017-11-18,0.4,3.0911875
2017-11-19,3.601,3.9287916666666667
2017-11-20,0.0,5.3613125
2017-11-21,0.0,5.0635208333333335
2017-11-22,2.4,5.448979166666667
2017-11-23,2.4,4.8285833333333334
2017-11-24,19.605,4.3721041666666665
2017-11-25,2.2,4.725854166666667
2017-11-26,0.8,4.396
2017-11-27,1.7999999999999998,4.947708333333334
2017-11-28,1.6,4.056520833333333
2017-11-29,0.0,5.5073333333333325
2017-11-30,0.4,6.158083333333334
2017-12-01,9.001,4.7148125
2017-12-02,8.0,3.458229166666667
2017-12-03,6.0,3.6503333333333337
2017-12-04,13.2,4.028229166666667
2017-12-05,10.4,2.5231666666666666
2017-12-06,16.604,2.2660416666666667
2017-12-07,8.4,3.688791666666667
2017-12-08,6.0,4.2888125
2017-12-09,0.8,4.030291666666667
2017-12-10,1.2000000000000002,6.302770833333334
2017-12-11,0.0,4.423229166666666
2017-12-12,0.0,4.511354166666667
2017-12-13,2.2,3.276875
2017-12-14,2.2,6.475604166666667
2017-12-15,10.0,4.068291666666666
2017-12-16,11.6,5.575270833333334
2017-12-17,8.8,4.154958333333333
2017-12-18,5.8020000000000005,5.2129375
2017-12-19,0.8,4.437125
2017-12-20,2.2,5.799520833333333
2017-12-21,6.4,5.311604166666666
2017-12-22,6.601,5.499458333333333
2017-12-23,2.2,3.7678125
2017-12-24,7.801,4.82475
2017-12-25,2.1999999999999997,4.750666666666667
2017-12-26,4.0,3.5705833333333334
2017-12-27,14.200000000000001,3.733416666666667
2017-12-28,11.801,3.39925
2017-12-29,11.600999999999999,1.5787916666666666
2017-12-30,3.2,2.2238124999999997
2017-12-31,3.1999999999999997,2.722875
2018-01-01,0.0,4.045166666666667
2018-01-02,0.0,4.010770833333333
2018-01-03,4.6,5.32975
2018-01-04,3.8000000000000003,3.1725208333333335
2018-01-05,13.0,3.592083333333333
2018-01-06,19.403,1.7249999999999999
2018-01-07,2.4000000000000004,2.4308958333333335
2018-01-08,19.804,1.129125
2018-01-09,28.405,2.5985
2018-01-10,3.8000000000000003,2.8822083333333333
2018-01-11,5.6000000000000005,3.880708333333333
2018-01-12,1.6,4.711145833333333
2018-01-13,5.8,2.87125
2018-01-14,14.402,2.6495416666666665
2018-01-15,5.801,1.1879583333333332
2018-01-16,13.802,2.759854166666667
2018-01-17,15.402,3.342125
2018-01-18,45.009,3.4523333333333333
2018-01-19,11.2,2.582666666666667
2018-01-20,14.4,2.2155
2018-01-21,1.8,4.1296875
2018-01-22,22.805,1.5457291666666666
2018-01-23,9.802000000000001,3.669916666666667
2018-01-24,2.601,3.7251875
2018-01-25,4.8,3.8147291666666665
2018-01-26,1.2000000000000002,3.557229166666666
2018-01-27,4.001,4.417270833333333
2018-01-28,2.4000000000000004,6.6960625
2018-01-29,6.4,5.3107291666666665
2018-01-30,4.201,5.895958333333334
2018-01-31,0.0,5.925041666666666
2018-02-01,1.0,4.9060625
2018-02-02,10.003,5.439854166666667
2018-02-03,0.0,6.143104166666666
2018-02-04,0.4,6.787791666666667
2018-02-05,4.2,6.717270833333333
2018-02-06,3.2,5.569604166666667
2018-02-07,2.4000000000000004,5.621333333333333
2018-02-08,12.801,4.8869375
2018-02-09,17.601,3.177125
2018-02-10,11.0,2.7803541666666667
2018-02-11,2.0,3.8883958333333335
2018-02-12,8.401,5.263458333333333
2018-02-13,3.0,6.2748333333333335
2018-02-14,2.2,5.417041666666667
2018-02-15,14.402000000000001,4.073333333333333
2018-02-16,9.6,3.70725
2018-02-17,5.2,4.586166666666666
2018-02-18,15.201,3.3133541666666666
2018-02-19,13.001000000000001,2.3447708333333335
2018-02-20,0.2,4.040354166666667
2018-02-21,0.0,4.115291666666667
2018-02-22,0.0,5.363895833333333
2018-02-23,0.0,5.035666666666667
2018-02-24,0.0,5.156020833333334
2018-02-25,1.4,3.2336666666666667
2018-02-26,12.402,3.018104166666667
2018-02-27,7.0,3.5003124999999997
2018-02-28,4.800000000000001,4.736916666666667
2018-03-01,15.603,2.3511458333333333
2018-03-02,13.601,4.0790625
2018-03-03,2.0,4.140395833333334
2018-03-04,2.6,3.4979999999999998
2018-03-05,2.0,4.445333333333333
2018-03-06,16.001,2.5561666666666665
2018-03-07,15.003,3.8525625
2018-03-08,0.2,6.019416666666667
2018-03-09,7.8,4.284791666666666
2018-03-10,1.2,5.668729166666666
2018-03-11,0.2,5.4892916666666665
2018-03-12,3.8,4.977083333333334
2018-03-13,13.202,5.675604166666667
2018-03-14,25.203,3.1104791666666665
2018-03-15,0.8,4.507541666666667
2018-03-16,5.801,4.804208333333333
2018-03-17,6.6,4.434958333333333
2018-03-18,16.401,2.5773958333333336
2018-03-19,8.8,3.353520833333333
2018-03-20,1.6,4.687895833333333
2018-03-21,9.202,4.0211875
2018-03-22,0.6000000000000001,4.683020833333333
2018-03-23,16.003,2.3167916666666666
2018-03-24,20.803,3.5613541666666664
2018-03-25,6.6,3.7148125000000003
2018-03-26,12.6,4.2333125
2018-03-27,14.6,3.278375
2018-03-28,2.8,4.596520833333334
2018-03-29,4.2,4.733625
2018-03-30,1.0,5.043583333333333
2018-03-31,1.8,4.646458333333333
2018-04-01,0.8,3.4395624999999996
2018-04-02,4.6000000000000005,2.8832500000000003
2018-04-03,2.4000000000000004,3.5026458333333337
2018-04-04,10.402,3.1443125
2018-04-05,4.6,2.1628125
2018-04-06,7.401,3.3758958333333333
2018-04-07,8.8,3.7503958333333336
2018-04-08,12.402000000000001,2.256479166666667
2018-04-09,17.202,2.3257083333333335
2018-04-10,6.2,2.964770833333333
2018-04-11,4.6000000000000005,4.183375
2018-04-12,7.601,4.73475
2018-04-13,3.2,2.7776041666666664
2018-04-14,10.402000000000001,1.6888958333333333
2018-04-15,1.8,3.8776458333333337
2018-04-16,0.0,4.982354166666666
2018-04-17,0.0,5.726458333333333
2018-04-18,0.0,5.441354166666667
2018-04-19,0.0,5.7989999999999995
2018-04-20,2.2,5.154229166666666
2018-04-21,9.202,4.650895833333333
2018-04-22,4.8,4.355854166666667
2018-04-23,2.6,3.637958333333333
2018-04-24,5.2,3.7343958333333336
2018-04-25,5.801,3.8387499999999997
2018-04-26,1.2000000000000002,3.4884791666666666
2018-04-27,1.0,3.5955833333333334
2018-04-28,1.2000000000000002,2.71975
2018-04-29,0.8,4.3853125
2018-04-30,0.0,5.159979166666667
2018-05-01,0.6000000000000001,4.225833333333333
2018-05-02,0.0,4.851416666666666
2018-05-03,0.0,5.587020833333334
2018-05-04,0.0,5.479875
2018-05-05,5.2,4.645583333333334
2018-05-06,0.6000000000000001,4.542604166666667
2018-05-07,3.2,4.015520833333333
2018-05-08,1.4,3.696604166666667
2018-05-09,5.4,3.8880208333333335
2018-05-10,1.6,5.255625
2018-05-11,0.0,5.055124999999999
2018-05-12,0.4,5.257708333333333
2018-05-13,1.0,4.133958333333333
2018-05-14,1.0,5.145125
2018-05-15,0.0,4.585875000000001
2018-05-16,1.8,5.096291666666667
2018-05-17,8.8,4.551208333333333
2018-05-18,6.001,3.032958333333333
2018-05-19,0.0,4.6560625
2018-05-20,3.2,3.836854166666667
2018-05-21,9.600999999999999,3.9547708333333333
2018-05-22,10.0,4.758104166666667
2018-05-23,0.0,5.083458333333334
2018-05-24,0.0,4.571416666666667
2018-05-25,0.0,4.732083333333334
2018-05-26,0.0,4.990645833333334
2018-05-27,0.0,5.111041666666666
2018-05-28,0.0,6.149354166666666
2018-05-29,5.2,4.307979166666667
2018-05-30,0.0,5.1875625
2018-05-31,0.0,5.081875
2018-06-01,0.0,4.704770833333334
2018-06-02,0.0,4.704770833333334
2018-06-03,5.6,2.0423958333333334
2018-06-04,8.201,4.138520833333334
2018-06-05,0.0,5.2566875
2018-06-06,0.0,5.203791666666667
