date,z_300.0,z_400.0,z_500.0,q_300.0,q_400.0,q_500.0,crwc_300.0,crwc_400.0,crwc_500.0,t_300.0,t_400.0,t_500.0,u_300.0,u_400.0,u_500.0,v_300.0,v_400.0,v_500.0,u10,v10,d2m,t2m,sp,z,tp,ssrd,strd,sf
1940-01-29,94624.15,74075.414,57263.266,0.00037301038,0.0006638177,0.002208897,0.0,0.0,0.0,-32.82492,-16.234467,-6.1836243,3.9821653,0.098365605,-0.49506375,7.729851,10.20403,2.7822688,0.8018385,0.24290013,0.96987915,4.5247498,61743.344,40786.863,0.22415657,2036503.2,4071649.0,3.576133e-08
1940-01-30,94531.15,73997.93,57186.105,0.0006009121,0.0014997373,0.0029082187,0.0,0.0,0.0,-32.427536,-16.56009,-6.250366,-3.6325796,1.8714634,0.5188847,3.0484114,4.429909,1.3012067,0.49188763,0.15035261,1.2006531,4.507416,61685.062,40786.863,0.3810631,3043958.0,4104690.5,1.550978e-05
1940-01-31,94500.9,74030.54,57255.562,0.0003782725,0.00062014855,0.0017360012,0.0,0.0,0.0,-33.042435,-17.153305,-6.4358826,1.7180252,4.905917,2.9184725,-3.9351692,-3.7785494,-1.840497,0.9064563,0.3462608,-0.7138977,3.2043762,61736.113,40786.863,0.30342495,3848227.5,3839876.0,2.9802322e-06
1940-02-01,94533.66,74072.31,57308.78,0.00026474477,0.0005491358,0.0021517132,0.0,0.0,0.0,-33.04512,-17.60225,-6.7952576,4.852434,3.4031775,2.7524426,-6.408175,-1.6140999,-1.5022541,1.0748631,0.53940433,-1.217865,3.185028,61783.58,40786.863,0.3677478,3914072.8,3752704.2,8.3436316e-07
1940-02-02,94538.445,74085.28,57329.715,0.0002684109,0.00039812652,0.0012648484,0.0,0.0,0.0,-33.257477,-17.712112,-6.5422363,5.1085954,2.8013608,3.6431224,-0.10209161,-1.3333768,-0.5109468,0.9881499,0.41439158,-1.7379456,3.6870422,61805.766,40786.863,0.09803915,4136635.0,3543452.8,0.0
1940-02-03,94497.32,74040.29,57273.36,0.0003247635,0.00032235502,0.0011019055,0.0,0.0,0.0,-33.56076,-17.366165,-6.412903,1.419597,2.0602767,2.2530558,0.8904274,-0.8174136,-0.9881131,0.8212247,0.19701368,-2.6576843,3.5747986,61755.336,40786.863,0.07410741,4040172.2,3486726.5,4.7693902e-08
1940-02-04,94533.62,74081.914,57305.297,0.00044522856,0.0002715816,0.0018650163,0.0,0.0,0.0,-33.53244,-17.28659,-6.413086,0.4013258,6.777525,1.5981907,1.2200199,-1.5774411,-2.358338,0.6476054,-0.10037555,-0.7666321,4.0073547,61785.555,40786.863,0.3693859,3568055.8,3820176.5,8.463612e-07
1940-02-05,94553.51,74105.266,57309.605,0.000415546,0.00030900424,0.0019002161,0.0,0.0,0.0,-33.67656,-17.280853,-5.8189697,-1.0392684,6.384903,2.4823394,-1.9151826,-3.060372,-1.1851135,-0.10804525,-0.00026249886,0.58706665,5.1217957,61761.957,40786.863,0.1477331,3890639.0,3952517.2,2.1457163e-07
1940-02-06,94644.26,74125.984,57310.293,0.00029390445,0.00028852726,0.0024189574,0.0,0.0,0.0,-33.170425,-16.505249,-5.65506,2.8047686,5.281737,0.8782472,-0.76648664,0.08835751,0.56473726,0.031322263,0.06911692,1.2715149,4.391144,61773.13,40786.863,0.74804634,3521574.8,4172420.8,4.9510796e-05
1940-02-07,94628.48,74095.266,57277.918,0.0004064989,0.0002911256,0.0036328994,0.0,0.0,0.0,-32.549484,-16.326324,-6.1574707,-1.499721,3.4027846,-0.45904827,1.3899002,4.318514,-0.58133036,0.13255744,0.13190494,2.1990662,4.0558777,61751.21,40786.863,0.6725356,3069673.8,4270820.5,3.2035314e-07
